,length,PA,ED
0,182,64,0
1,182,64,5
2,182,64,9
3,266,65,125
4,266,65,134
5,266,73,136
6,286,74,153
7,286,74,157
8,318,70,182
9,302,69,174
10,302,69,175
11,302,73,175
12,302,73,175
13,311,71,185
14,311,71,195
15,331,83,208
16,331,83,206
17,331,84,208
18,327,84,204
19,327,84,206
20,327,84,208
21,327,82,208
22,327,82,206
23,339,82,215
24,339,82,214
25,339,82,218
26,371,84,248
27,371,87,249
28,371,87,249
29,355,87,238
30,355,87,238
31,355,87,236
32,355,93,244
33,587,93,448
34,582,95,442
35,582,93,442
36,582,93,441
37,582,93,443
38,577,94,439
39,577,94,439
40,593,92,454
41,593,93,454
42,577,95,440
43,577,102,441
44,577,102,441
45,577,102,440
46,593,102,452
47,593,101,455
48,593,102,455
49,593,102,455
50,593,102,456
51,627,113,494
52,627,113,493
53,624,114,491
54,570,114,440
55,561,113,431
56,549,113,416
57,539,113,408
58,523,112,392
59,643,123,508
60,643,123,508
61,595,123,464
62,595,123,464
63,595,123,466
64,595,123,466
65,565,120,438
66,565,120,438
67,577,121,448
68,577,121,447
69,577,121,447
70,577,132,446
71,577,132,449
72,577,132,449
73,573,131,448
74,567,125,442
75,563,126,437
76,563,126,437
77,563,126,437
78,607,126,477
79,607,132,477
80,568,134,446
81,568,134,446
82,572,135,449
83,599,136,473
84,599,136,473
85,599,135,476
86,599,135,476
87,599,135,476
88,659,132,536
89,653,132,531
90,653,132,532
91,683,146,554
92,703,146,573
93,706,145,576
94,706,145,576
95,706,147,576
96,706,147,577
97,706,147,577
98,769,148,634
99,709,148,587
