,length,PA,ED
0,182,64,0
1,184,63,28
2,178,63,38
3,178,63,45
4,170,63,58
5,170,63,84
6,168,62,86
7,168,61,121
8,168,60,119
9,168,58,119
10,175,59,121
11,177,59,121
12,183,60,126
13,199,61,136
14,205,61,139
15,229,62,151
16,137,44,127
17,121,43,125
18,121,45,125
19,103,39,126
20,119,40,126
21,83,34,133
22,87,34,131
23,59,29,142
24,59,29,142
25,59,29,143
26,63,30,144
27,63,30,144
28,63,30,142
29,63,30,142
30,63,30,140
31,63,30,139
32,65,31,137
33,65,31,140
34,67,31,141
35,67,31,139
36,67,30,139
37,67,30,139
38,55,25,146
39,55,25,147
40,70,25,143
41,81,26,143
42,77,26,144
43,92,25,138
44,92,25,140
45,92,25,140
46,91,24,140
47,91,24,140
48,80,26,143
49,80,25,143
50,73,24,143
51,73,24,143
52,73,24,143
53,76,26,140
54,76,26,142
55,52,23,151
56,55,23,148
57,53,23,148
58,52,22,148
59,33,21,155
60,33,21,158
61,33,21,157
62,33,21,158
63,33,21,160
64,33,21,159
65,32,21,159
66,30,21,160
67,30,21,159
68,27,21,162
69,21,17,167
70,21,17,165
71,21,17,165
72,21,17,165
73,21,17,164
74,19,16,166
75,19,16,166
76,17,15,167
77,17,15,166
78,19,16,164
79,19,16,166
80,21,16,166
81,23,17,165
82,23,17,165
83,23,17,165
84,23,17,165
85,22,17,165
86,22,17,166
87,22,17,166
88,21,16,167
89,21,16,166
90,21,16,166
91,20,16,166
92,21,17,166
93,20,16,167
94,19,15,167
95,23,16,165
96,23,16,165
97,20,15,167
98,20,15,167
99,20,15,167
