,length,PA,ED
0,182,64,0
1,181,64,9
2,181,64,15
3,181,64,23
4,181,64,23
5,179,64,29
6,173,63,29
7,173,62,37
8,173,61,43
9,173,61,55
10,173,61,55
11,173,61,59
12,173,61,59
13,163,61,69
14,163,61,69
15,163,61,71
16,171,62,79
17,181,63,87
18,181,63,89
19,181,63,88
20,181,63,88
21,187,68,95
22,187,67,99
23,187,67,99
24,191,68,100
25,191,66,110
26,191,66,116
27,183,65,112
28,230,70,154
29,224,65,150
30,216,64,147
31,216,63,148
32,216,63,147
33,212,62,145
34,212,62,149
35,204,58,144
36,200,57,141
37,200,71,140
38,196,62,142
39,187,61,139
40,187,59,140
41,196,60,144
42,211,61,149
43,211,61,150
44,215,61,153
45,253,62,180
46,242,61,172
47,394,62,289
48,394,62,287
49,394,62,287
50,394,62,287
51,328,56,230
52,332,56,235
53,331,61,231
54,331,78,233
55,345,83,246
56,345,83,246
57,350,83,248
58,350,81,248
59,310,81,216
60,310,80,217
61,310,79,220
62,310,79,220
63,314,79,220
64,296,83,207
65,296,82,207
66,312,83,222
67,312,82,221
68,312,82,220
69,312,83,226
70,313,81,225
71,313,81,225
72,235,75,166
73,233,77,165
74,233,77,167
75,233,77,168
76,228,76,166
77,224,69,164
78,124,56,129
79,128,58,128
80,133,57,128
81,139,59,127
82,179,62,137
83,179,62,137
84,155,61,131
85,155,61,131
86,155,61,130
87,151,62,128
88,151,63,129
89,151,68,125
90,154,65,131
91,142,63,128
92,142,65,127
93,138,62,128
94,138,62,128
95,136,61,127
96,135,60,127
97,135,63,126
98,131,57,126
99,131,65,125
